area_type,availability,BHK,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,1,2,0,1167,2,2,37.5,Aundh Road
Super built-up  Area,1,2,IBictnd,1276,2,2,80,Balaji Nagar
Built-up  Area,1,2,Tenetee,1234,2,2,51,Baner
Super built-up  Area,1,2,RothaVa,1180,2,1,75,Baner road
Super built-up  Area,1,3,Oaines ,1370,2,2,87,Bhandarkar Road
Super built-up  Area,0,2,SunceEs,1015,2,2,25.88,Bhavani Peth
Built-up  Area,1,3,0,1400,3,1,90,Bopodi
Plot  Area,1,2,0,1050,2,0,40,Bund Garden Road
Super built-up  Area,0,2,ViistLa,1251,2,1,46,Camp
Super built-up  Area,1,3,IBityin,1677,3,0,92.13,Chandan Nagar
Super built-up  Area,0,2,PualeSk,1346,2,1,67.38,Dapodi
Built-up  Area,0,2,Sryalan,1090,2,1,31.48,Deccan Gymkhana
Super built-up  Area,1,3,SPavenc,1290,2,3,51.1,Dhankawadi
Super built-up  Area,0,5,Phaku K,7514,7,0,1500,Dhayari Phata
Super built-up  Area,1,3,Ahriaup,1881,3,2,145,Dhole Patil Road
Super built-up  Area,1,2,0,1150,2,2,52,Erandwane
Built-up  Area,1,3,0,2690,3,2,295,Fergusson College Road
Super built-up  Area,1,3,0,1200,2,2,42,Ganesh Peth
Super built-up  Area,1,3,Soeurri,2735,4,2,340,Ghorpade Peth
Built-up  Area,1,2,0,950,2,0,65,Ghorpadi
Built-up  Area,1,3,0,1491,3,3,40.5,Gokhale Nagar
Super built-up  Area,0,2,Vaharvi,1050,2,1,51.66,Gultekdi
Super built-up  Area,0,3,GoAirej,1660,3,2,131,Guruwar peth
Super built-up  Area,1,2,0,1134,2,2,55,Hadapsar
Built-up  Area,1,2,0,1100,2,1,60,Hadapsar Industrial Estate
Plot  Area,0,2,0,1200,2,1,36.1,Jangali Maharaj Road
Plot  Area,1,3,0,980,3,1,80,Karve Nagar
Super built-up  Area,1,2,0,1080,2,1,37.8,Karve Road
Super built-up  Area,1,1,Pu270a ,705,2,1,50,Kasba Peth
Super built-up  Area,1,3,0,1200,2,2,35,Katraj
Super built-up  Area,1,2,LoLeoen,1200,2,1,50,Khadaki
Super built-up  Area,0,3,Sodgere,1804,3,2,127,Khadki
Built-up  Area,1,2,Dhave E,750,2,0,20,Kharadi
Built-up  Area,1,4,0,2800,4,2,252,Kondhwa Budruk
Super built-up  Area,0,2,0,1090,2,2,38.37,Kondhwa Khurd
Plot  Area,1,2,0,1500,2,0,230,Koregaon Park
Built-up  Area,1,3,DSgmax ,1287,3,1,55,Kothrud
Super built-up  Area,1,3,Prtanha,2215,4,2,157,Law College Road
Plot  Area,1,4,0,2800,4,0,375,Laxmi Road
Built-up  Area,1,2,Usquaya,1045,2,2,42.15,Lulla Nagar
Super built-up  Area,0,2,0,1263,2,1,47.36,Mahatma Gandhi Road
Super built-up  Area,1,3,SLiand ,1431,3,2,85,Mangalwar peth
Super built-up  Area,1,2,0,999,2,2,32.9,Manik Bagh
Super built-up  Area,1,3,Prlla C,1650,3,2,85.5,Market yard
Super built-up  Area,1,3,VRest N,1535,3,1,72,Model colony
Super built-up  Area,0,4,Prionad,2524,5,2,180,Mukund Nagar
Super built-up  Area,0,3,PrarePa,1300,3,2,69,Mundhawa
Super built-up  Area,1,3,0,2095,3,2,150,Nana Peth
Super built-up  Area,0,1,0,500,1,1,14,Narayangaon
Super built-up  Area,1,2,Mauil T,1265,2,2,68,Navi Peth
Super built-up  Area,1,2,0,1215,2,1,44.96,Padmavati
Plot  Area,1,2,0,2200,2,0,180,Parvati Darshan
Built-up  Area,1,2,0,1028,2,1,51,Pashan
Super built-up  Area,1,3,Golmsn ,1835,2,0,92,Paud Road
Super built-up  Area,1,3,0,1800,3,3,65,Pirangut
Super built-up  Area,0,3,Inntsth,2077,3,3,175,Prabhat Road
Plot  Area,1,4,NVanat ,2880,3,2,211,Pune Railway Station
Super built-up  Area,1,2,Tavenew,708,2,1,31.15,Raviwar Peth
Super built-up  Area,1,2,0,1200,2,3,120,Sadashiv Peth
Built-up  Area,1,2,0,925,2,1,46.25,Sahakar Nagar
Built-up  Area,0,3,0,2826,3,1,148,Salunke Vihar
Built-up  Area,1,4,0,3500,4,0,150,Satara Road
Plot  Area,1,4,0,5400,4,0,250,Senapati Bapat Road
Built-up  Area,1,3,Prentra,1450,2,1,90,Shivaji Nagar
Super built-up  Area,1,2,MSopsw ,1100,2,1,65,Shukrawar Peth
Super built-up  Area,1,2,Saisei ,1185,2,3,55,Sinhagad Road
Built-up  Area,1,4,0,1900,4,2,80,Somwar Peth
Plot  Area,1,2,0,1200,2,1,70,Swargate
Super built-up  Area,0,1,LendaVi,660,1,1,35,Tilak Road
Super built-up  Area,1,3,0,1920,4,2,121,Uruli Devachi
Plot  Area,1,2,0,1200,2,0,130,Vadgaon Budruk
Built-up  Area,1,4,AztheBr,3418,0,0,222,Wadgaon Sheri
Super built-up  Area,1,4,0,4550,2,1,240,Viman Nagar
Super built-up  Area,0,2,Rosha I,1205,2,1,68.32,Vishrant Wadi
Super built-up  Area,1,2,0,1200,2,2,46,Wagholi
Super built-up  Area,1,3,DLhtsnd,1421,2,2,73,Wakadewadi
Super built-up  Area,0,3,0,1250,3,3,48.9,Wanowrie
Super built-up  Area,0,1,Oreldhi,524,1,1,29,Warje
Built-up  Area,1,5,0,4200,5,0,245,Yerawada
Super built-up  Area,1,3,Asnts a,1540,3,0,90,Alandi Road
Super built-up  Area,0,2,AsastDe,984,2,1,45.91,Ambegaon Budruk
Super built-up  Area,0,2,AsNowre,985,2,1,50.17,Anandnagar
Built-up  Area,0,4,0,2830,4,3,161,Aundh
Super built-up  Area,1,2,Mancyi ,1140,2,3,60,Aundh Road
Built-up  Area,1,5,0,3600,5,3,130,Balaji Nagar
Super built-up  Area,1,3,Dhalsh ,1410,2,3,44.42,Baner
Super built-up  Area,1,3,0,1700,2,2,86,Baner road
Plot  Area,1,4,Aroveth,1800,3,2,700,Bhavani Peth
Super built-up  Area,0,2,KSliaor,1333,2,1,86.65,Bibvewadi
Super built-up  Area,1,2,Goty  E,1258,2,1,85.5,Bopodi
Super built-up  Area,1,3,AlEcone,1458,2,2,87,Budhwar Peth
Built-up  Area,1,2,Prarkun,1386,2,1,85,Bund Garden Road
Built-up  Area,0,2,Sryalan,1140,2,1,32.92,Camp
Built-up  Area,1,1,GMown E,550,1,1,27,Chandan Nagar
Super built-up  Area,1,2,RothaVa,1200,2,3,83,Dapodi
Super built-up  Area,1,2,0,1081,2,1,39,Deccan Gymkhana
Super built-up  Area,1,4,ArsiaEx,2135,3,2,149,Dehu Road
Built-up  Area,0,4,M1riaa ,2500,4,0,100,Dhankawadi
Super built-up  Area,1,2,Stensg ,1178,2,1,80,Dhayari Phata
Super built-up  Area,1,2,Prsorhi,991,2,2,40,Dhole Patil Road
Super built-up  Area,1,3,Krryll ,1493,2,3,90,Erandwane
Super built-up  Area,1,3,Mayne A,2495,3,3,130,Fatima Nagar
Super built-up  Area,1,2,0,1080,2,1,31.99,Fergusson College Road
Super built-up  Area,1,2,Tavenew,814,2,1,53,Ganesh Peth
Super built-up  Area,1,2,GMown E,1025,2,1,50,Ganeshkhind
Super built-up  Area,0,2,PrarePa,1115,2,1,61,Ghorpade Peth
Super built-up  Area,1,4,Prwer S,3075,2,3,188,Ghorpadi
Super built-up  Area,1,3,BrlisCo,1760,3,2,160,Gultekdi
Super built-up  Area,1,7,0,4000,8,1,150,Guruwar peth
Built-up  Area,1,4,Vemes H,3090,4,0,350,Hadapsar
Built-up  Area,1,4,0,2700,4,3,295,Hadapsar Industrial Estate
Super built-up  Area,1,2,Saersel,1175,2,2,52.86,Hingne Khurd
Super built-up  Area,0,4,Cehosy ,4235,5,3,364,Jangali Maharaj Road
Super built-up  Area,1,2,SLontel,1100,2,2,45,Kalyani Nagar
Super built-up  Area,1,2,0,1450,2,2,50.75,Karve Road
Super built-up  Area,1,3,HMinebo,1810,3,3,131,Kasba Peth
Super built-up  Area,1,3,0,1426,2,3,71,Katraj
Built-up  Area,1,3,Saitya ,2400,2,3,195,Khadaki
Built-up  Area,1,2,Satle C,1100,2,1,70,Khadki
Super built-up  Area,1,1,Srrlsnu,650,1,1,35,Kharadi
Super built-up  Area,0,3,Shmes O,1350,3,2,47.25,Kondhwa
Super built-up  Area,0,2,0,900,2,1,27,Kondhwa Budruk
Super built-up  Area,1,2,Epwnee ,1360,2,3,110,Kondhwa Khurd
Super built-up  Area,1,1,IBityin,674,1,1,36.85,Koregaon Park
Super built-up  Area,0,3,Prtates,1655,3,2,110,Kothrud
Plot  Area,1,2,0,1300,2,2,95,Law College Road
Built-up  Area,0,1,0,936,1,0,53,Laxmi Road
Super built-up  Area,1,2,Kesomrn,1277,2,2,92,Lulla Nagar
Super built-up  Area,1,2,0,1200,2,1,54,Mahatma Gandhi Road
Super built-up  Area,1,2,0,1015,2,1,39.08,Mangalwar peth
Super built-up  Area,1,2,PrityTr,1153,2,2,60,Manik Bagh
Super built-up  Area,1,2,0,1035,2,1,51.5,Market yard
Built-up  Area,1,5,Skdia A,3300,3,1,255,Model colony
Super built-up  Area,1,2,0,1150,2,1,46,Mukund Nagar
Super built-up  Area,1,2,0,1020,2,1,80,Mundhawa
Super built-up  Area,1,2,URncysi,1160,2,1,95,Nana Peth
Super built-up  Area,1,3,Prityel,1075,2,1,31,Narayan Peth
Built-up  Area,1,2,Roeekbl,1225,2,2,72,Narayangaon
Plot  Area,1,4,ImncyTa,5000,5,3,950,Navi Peth
Plot  Area,1,2,0,1600,2,1,160,Padmavati
Built-up  Area,1,3,Sanorpa,1350,3,2,60,Pashan
Super built-up  Area,0,3,PrarePa,1300,3,1,69,Paud Road
Super built-up  Area,0,2,MVisear,830,2,1,36.28,Pirangut
Super built-up  Area,1,2,Maity W,1155,2,1,69.18,Prabhat Road
Super built-up  Area,1,4,Sowerew,3126,5,3,345,Pune Railway Station
Super built-up  Area,1,2,Kuownri,905,2,2,55,Rasta Peth
Super built-up  Area,1,3,GontsAp,1375,2,0,75,Raviwar Peth
Super built-up  Area,0,2,0,1140,2,2,33.84,Sahakar Nagar
Super built-up  Area,1,3,0,1550,2,2,60,Salunke Vihar
Super built-up  Area,1,2,VBownre,957,2,1,55,Sasson Road
Built-up  Area,1,2,NaensGa,890,2,2,45,Satara Road
Super built-up  Area,1,4,Thessmm,3000,4,2,235,Senapati Bapat Road
Super built-up  Area,1,2,GMown E,1070,2,1,55,Shaniwar Peth
Plot  Area,1,5,Brersld,2400,5,1,150,Shivaji Nagar
Plot  Area,1,4,0,2400,4,2,595,Shukrawar Peth
Super built-up  Area,1,2,ArariGo,925,2,1,37,Sinhagad Road
Built-up  Area,1,2,Vicony ,1415,2,2,60,Somwar Peth
Plot  Area,1,1,0,500,2,0,80,Swargate
Super built-up  Area,1,2,SLaceda,1225,2,1,37,Tilak Road
Built-up  Area,1,4,0,2000,4,0,90,Uruli Devachi
Super built-up  Area,0,1,Oreldhi,840,1,1,57,Vadgaon Budruk
Super built-up  Area,0,3,Bhe 2ko,1732,3,1,112,Viman Nagar
Plot  Area,1,1,0,1200,1,0,45,Vishrant Wadi
Super built-up  Area,1,2,Srhemay,1260,2,1,69.9,Wagholi
Super built-up  Area,1,2,0,1092,2,1,49,Wakadewadi
Super built-up  Area,1,2,ICoolon,827,2,0,34,Wanowrie
Super built-up  Area,1,2,0,1357,2,2,54,Warje
Super built-up  Area,1,3,SrncyRe,1370,2,1,54.79,Alandi Road
Super built-up  Area,1,3,AjhalNa,1725,3,2,106,Ambegaon Budruk
Built-up  Area,1,2,0,1000,2,0,70,Anandnagar
Plot  Area,1,1,0,1350,1,0,55,Aundh
Plot  Area,1,4,0,3200,4,2,350,Aundh Road
Super built-up  Area,1,3,0,1717,3,2,110,Balaji Nagar
Super built-up  Area,0,2,PrarePa,700,2,1,34,Baner
Super built-up  Area,1,2,ShtonDw,800,2,1,32,Baner road
Super built-up  Area,1,3,PhestOn,2367,4,3,340,Bhandarkar Road
Super built-up  Area,1,3,DSgam S,1415,2,1,65,Bhavani Peth
Super built-up  Area,0,3,Puarero,1976,3,1,145,Bibvewadi
Super built-up  Area,1,2,0,883,2,1,37.01,Bopodi
Super built-up  Area,1,1,BCivell,700,1,1,38,Budhwar Peth
Super built-up  Area,1,3,Coa 3t ,1445,3,1,50,Bund Garden Road
Super built-up  Area,0,3,PaontWa,2082,3,2,104,Camp
Super built-up  Area,1,2,NRosete,1140,2,2,46,Chandan Nagar
Super built-up  Area,1,2,Bhmesy ,933,2,1,66,Dapodi
Built-up  Area,1,2,0,1155,2,1,57,Dehu Road
Super built-up  Area,1,2,SMuilan,1130,2,1,36,Dhankawadi
Super built-up  Area,1,2,0,1200,2,2,73.2,Dhayari Phata
Super built-up  Area,1,2,0,1055,2,1,43,Dhole Patil Road
Super built-up  Area,1,3,SradeSr,1555,3,2,125,Erandwane
Super built-up  Area,1,3,CVnetnc,1420,3,2,62,Fatima Nagar
Super built-up  Area,0,3,0,2214,3,2,350,Fergusson College Road
Super built-up  Area,0,1,Sabixtt,658,1,1,26.91,Ganesh Peth
Carpet  Area,0,2,Rosha I,896.9,2,1,78.74,Ganeshkhind
Plot  Area,1,4,0,4000,3,2,750,Ghorpade Peth
Built-up  Area,1,2,SViseun,1035,2,2,40,Ghorpadi
Plot  Area,1,4,MIntare,2064,5,2,225,Gokhale Nagar
Super built-up  Area,1,3,ETens G,1839,3,3,160,Gultekdi
Super built-up  Area,1,2,Dhalsh ,1200,2,2,44,Guruwar peth
Built-up  Area,1,1,KHatsFl,488,1,1,20,Hadapsar
Built-up  Area,1,3,0,1200,2,1,198,Hadapsar Industrial Estate
Built-up  Area,1,5,0,2760,5,0,140,Hingne Khurd
Super built-up  Area,1,2,Evvan V,993,2,2,42,Jangali Maharaj Road
Super built-up  Area,1,2,Siiewag,1225,2,1,45,Kalyani Nagar
Plot  Area,1,2,0,900,2,0,55,Karve Nagar
Built-up  Area,1,2,Suiseit,825,2,1,32,Kasba Peth
Super built-up  Area,1,4,0,3596,4,2,359,Katraj
Super built-up  Area,1,3,SJmesst,1800,3,3,92,Khadki
Super built-up  Area,1,2,0,925,2,1,100,Kharadi
Super built-up  Area,0,2,GolusLi,1167,2,1,63,Kondhwa
Super built-up  Area,1,2,0,1150,2,1,41,Kondhwa Budruk
Super built-up  Area,0,1,Hisic G,650,1,1,50,Kondhwa Khurd
Built-up  Area,1,1,Shthi S,675,1,1,27,Koregaon Park
Plot  Area,1,2,0,2260,3,1,90,Kothrud
Super built-up  Area,1,2,0,1100,2,1,58,Lulla Nagar
Super built-up  Area,1,3,Aklia R,1330,2,1,58,Mangalwar peth
Super built-up  Area,1,2,Proodt ,1320,2,1,160,Manik Bagh
Super built-up  Area,1,3,0,1685,4,2,185,Market yard
Super built-up  Area,1,6,0,2400,5,2,75,Model colony
Super built-up  Area,0,3,Bregae ,1770,3,3,108,Mukund Nagar
Super built-up  Area,1,3,Prigh L,2100,3,3,125,Mundhawa
Super built-up  Area,1,2,0,1000,2,3,42,Nagar Road
Plot  Area,1,4,0,2916,5,1,230,Narayan Peth
Super built-up  Area,1,3,SoapeSu,1419.59,2,1,65,Narayangaon
Super built-up  Area,1,3,KAMESRI,1400,3,0,81,Navi Peth
Built-up  Area,1,2,0,750,2,1,37.49,Padmavati
Super built-up  Area,1,2,0,1070,2,1,87,Parvati Darshan
Super built-up  Area,0,3,Sonue A,1536,3,1,107,Pashan
Built-up  Area,1,3,K ncy R,1710,3,2,210,Paud Road
Carpet  Area,1,3,Saacy A,2400,3,3,196,Pirangut
Super built-up  Area,0,2,Prarkun,1342,2,1,72,Pune Railway Station
Super built-up  Area,1,3,0,1600,3,2,130,Rasta Peth
Super built-up  Area,0,1,GoityEt,938,1,1,50,Raviwar Peth
Super built-up  Area,1,3,PrityTr,1820,3,2,99,Sadashiv Peth
Super built-up  Area,1,4,Pride S,2439,4,3,170,Sahakar Nagar
Super built-up  Area,1,3,Puestol,1665,3,2,78,Salunke Vihar
Super built-up  Area,1,3,0,1850,3,2,150,Sasson Road
Built-up  Area,1,2,Alarke ,1091,2,1,40,Satara Road
Super built-up  Area,0,2,PualeSk,1346,2,1,74.03,Senapati Bapat Road
Super built-up  Area,1,3,Brway G,1720,3,2,224,Shaniwar Peth
Built-up  Area,1,4,Goodsrb,3675,4,3,176,Shivaji Nagar
Super built-up  Area,0,2,0,1060,2,2,33.95,Shukrawar Peth
Built-up  Area,0,2,0,1059,2,1,57,Sinhagad Road
Super built-up  Area,1,2,Prersis,1299,2,1,97,Somwar Peth
Super built-up  Area,1,3,Niareum,1491,3,2,85,Swargate
Built-up  Area,1,2,0,1200,2,2,85,Tilak Road
Built-up  Area,1,4,0,2088,5,0,110,Uruli Devachi
Super built-up  Area,1,1,0,581,1,1,29,Vadgaon Budruk
Super built-up  Area,1,2,0,1296,2,2,70,Wadgaon Sheri
Super built-up  Area,1,2,Mavelr ,1125,2,1,55,Viman Nagar
Built-up  Area,1,3,Emodsel,1275,3,1,70,Vishrant Wadi
Super built-up  Area,1,2,0,1095,2,2,55,Wagholi
Super built-up  Area,1,2,Sastaat,1330,2,2,74,Wanowrie
Super built-up  Area,1,2,0,1135,2,2,60,Warje
Super built-up  Area,1,1,0,516,1,1,39,Yerawada
Super built-up  Area,1,2,0,1194,2,1,51,Alandi Road
Plot  Area,1,5,0,2250,5,0,240,Ambegaon Budruk
Super built-up  Area,1,2,GMown E,770,1,1,38,Anandnagar
Super built-up  Area,1,4,Maana E,3930,5,2,330,Aundh
Super built-up  Area,0,3,0,1355,3,2,54.2,Aundh Road
Built-up  Area,1,8,0,3000,8,0,150,Balaji Nagar
Built-up  Area,1,4,Prncyrn,2569,4,1,175,Baner
Built-up  Area,1,4,0,3758,4,2,450,Baner road
Super built-up  Area,1,2,Sonviik,1116,2,3,51.91,Bhandarkar Road
Super built-up  Area,1,3,Prsun S,1707,3,2,115,Bhavani Peth
Super built-up  Area,1,2,0,1070,2,2,49,Bopodi
Super built-up  Area,0,3,Sahtsva,1240,2,1,83,Bund Garden Road
Super built-up  Area,0,2,Shestut,1300,2,1,91.65,Camp
Super built-up  Area,1,2,SJodsed,1700,2,2,76,Chandan Nagar
Super built-up  Area,1,3,IBityin,1383,2,2,76.18,Dapodi
Built-up  Area,1,5,0,3000,4,3,170,Deccan Gymkhana
Built-up  Area,0,2,0,1200,2,1,34.65,Dehu Road
Super built-up  Area,1,2,0,935,2,3,45,Dhankawadi
Super built-up  Area,1,3,Prtanha,2072,4,2,151,Dhayari Phata
Built-up  Area,1,4,0,2200,3,1,225,Dhole Patil Road
Super built-up  Area,1,1,Vaniai ,615,1,1,46,Erandwane
Super built-up  Area,1,2,CiaksRi,1116,2,1,45,Fatima Nagar
Super built-up  Area,0,3,Asarqz ,1639,3,2,107,Fergusson College Road
Super built-up  Area,1,3,0,1839,3,2,130,Ganesh Peth
Super built-up  Area,1,2,0,1300,2,2,63,Ganeshkhind
Super built-up  Area,1,1,0,625,1,1,27,Ghorpade Peth
Super built-up  Area,0,1,Bhmesy ,933,1,1,61,Ghorpadi
Super built-up  Area,1,3,Saageat,2289,3,3,180,Gokhale Nagar
Built-up  Area,1,3,0,2316,3,0,125,Gultekdi
Super built-up  Area,0,2,0,1005,2,1,39.77,Guruwar peth
Built-up  Area,1,2,SLoraFl,1080,2,1,38,Hadapsar
Super built-up  Area,1,2,Prodsth,910,2,3,36,Hingne Khurd
Plot  Area,1,2,Grensak,1200,2,0,73,Jangali Maharaj Road
Super built-up  Area,1,2,YCnce R,1110,2,1,39.9,Kalyani Nagar
Super built-up  Area,1,2,0,1142,2,2,56,Karve Nagar
Carpet  Area,1,5,0,4000,4,3,240,Karve Road
Plot  Area,0,3,Prageta,1800,3,1,204,Kasba Peth
Super built-up  Area,1,2,CMard B,1005,2,1,55,Katraj
Built-up  Area,0,3,0,1626.6,3,1,133,Khadaki
Super built-up  Area,1,2,0,1074,2,2,54,Khadki
Carpet  Area,1,2,0,1230,2,0,80,Kharadi
Super built-up  Area,1,2,Itelaa ,660,1,1,23,Kondhwa
Built-up  Area,1,2,0,1007,2,2,48,Kondhwa Budruk
Built-up  Area,0,3,0,1820,3,2,113,Koregaon Park
Super built-up  Area,1,2,Krtiqa ,1100,2,1,60,Kothrud
Plot  Area,1,2,0,1348,2,0,100,Law College Road
Super built-up  Area,1,2,0,1230,2,2,66.25,Laxmi Road
Super built-up  Area,0,3,0,1176,2,1,37.62,Lulla Nagar
Super built-up  Area,1,3,Aklia R,1590,3,2,57,Mahatma Gandhi Road
Built-up  Area,1,2,0,1200,2,1,78,Mangalwar peth
Built-up  Area,0,2,0,1298,2,1,65,Manik Bagh
Super built-up  Area,0,2,Mahesr ,1161,2,1,55.15,Market yard
Plot  Area,1,4,0,1350,4,0,175,Model colony
Super built-up  Area,1,2,0,1285,2,1,60,Mundhawa
Super built-up  Area,0,3,Prarkun,1644,3,2,92.59,Nagar Road
Super built-up  Area,1,3,0,1819,3,1,150,Nana Peth
Super built-up  Area,1,2,NCaveun,1205,2,1,85,Narayan Peth
Super built-up  Area,1,3,0,2350,3,3,300,Narayangaon
Super built-up  Area,1,2,0,1050,2,1,42,Navi Peth
Super built-up  Area,1,2,Ely 3Em,1270,2,2,62,Padmavati
Super built-up  Area,0,3,0,1240,2,2,39.89,Parvati Darshan
Super built-up  Area,1,3,DLhtsan,1221,3,3,70,Pashan
Super built-up  Area,1,2,PuandHi,1339,2,2,63,Pirangut
Super built-up  Area,1,4,Prtanha,4303,5,0,300,Prabhat Road
Super built-up  Area,1,2,DSimaUl,1315,2,1,85,Pune Railway Station
Super built-up  Area,1,2,0,1250,2,2,68,Rasta Peth
Super built-up  Area,1,2,Prityel,850,2,1,27,Raviwar Peth
Super built-up  Area,1,3,Eladero,1600,2,2,110,Sadashiv Peth
Built-up  Area,1,2,Prhtsua,1250,2,1,62,Sahakar Nagar
Super built-up  Area,1,3,Puodse ,1312,2,1,56.5,Salunke Vihar
Super built-up  Area,1,4,VSaya A,3000,4,0,134,Sasson Road
Built-up  Area,1,2,Prngshi,1300,2,2,28,Satara Road
Built-up  Area,1,3,0,1990,3,3,98,Senapati Bapat Road
Super built-up  Area,1,2,0,760,2,2,38.5,Shaniwar Peth
Plot  Area,1,4,Thessrm,5000,4,2,536,Shivaji Nagar
Super built-up  Area,1,3,InadeAr,1614,2,2,59,Shukrawar Peth
Plot  Area,1,4,0,1500,3,2,162,Sinhagad Road
Super built-up  Area,1,3,Prvaska,1182,2,1,60.1,Somwar Peth
Super built-up  Area,1,2,PyonsCa,1053,2,1,46.29,Swargate
Built-up  Area,1,1,0,750,1,1,105,Tilak Road
Super built-up  Area,1,3,MauilTr,2000,3,3,125,Uruli Devachi
Built-up  Area,0,3,SNbay G,1940,4,3,116,Vadgaon Budruk
Super built-up  Area,0,3,Shxorm ,1590,3,2,105,Wadgaon Sheri
Super built-up  Area,0,2,0,1035,2,2,52.79,Viman Nagar
Super built-up  Area,1,2,0,1075,2,2,53,Vishrant Wadi
Plot  Area,1,2,0,900,2,0,55,Wagholi
Super built-up  Area,1,3,Keave E,1260,2,1,62,Wakadewadi
Super built-up  Area,1,3,Soitya ,1702,3,2,107,Warje
Super built-up  Area,1,3,Prityel,1080,2,2,65,Yerawada
Built-up  Area,1,2,0,1189,2,1,45,Alandi Road
Super built-up  Area,1,2,Mairer ,1035,2,1,39,Ambegaon Budruk
Super built-up  Area,0,2,DSeldpr,1200,2,1,36,Anandnagar
Plot  Area,1,8,0,4482,6,2,852,Aundh
Plot  Area,1,3,0,1200,3,0,200,Aundh Road
Super built-up  Area,0,3,PrarePa,1300,3,1,69,Balaji Nagar
Super built-up  Area,0,2,LedorSa,1330,2,1,93.65,Baner
Super built-up  Area,1,3,Baowsig,1210,2,1,65,Baner road
Built-up  Area,1,3,0,1350,2,2,54.2,Bhandarkar Road
Super built-up  Area,1,3,SyOnen ,1900,2,2,65,Bhavani Peth
Super built-up  Area,1,3,SoechHa,1935,4,2,125,Bibvewadi
Super built-up  Area,1,3,BrlonAv,1410,3,3,90,Bopodi
Super built-up  Area,1,2,AriosHe,1469,2,2,99.14,Budhwar Peth
Super built-up  Area,1,2,Hirio L,986,2,1,30,Bund Garden Road
Super built-up  Area,1,3,Sasicha,1460,2,2,87,Camp
Super built-up  Area,0,3,TiaksAa,1260,2,2,85.05,Chandan Nagar
Super built-up  Area,1,3,Riiew L,1345,2,2,39.5,Dapodi
Super built-up  Area,1,2,Isncasa,980,2,1,57,Deccan Gymkhana
Built-up  Area,1,2,Brlms P,1164,2,2,75,Dehu Road
Super built-up  Area,1,2,Prldsri,929,1,2,51,Dhankawadi
Built-up  Area,1,2,0,1065,2,1,70,Dhayari Phata
Super built-up  Area,1,3,0,3000,3,1,265,Erandwane
Super built-up  Area,0,2,0,1020,2,1,30.27,Fatima Nagar
Super built-up  Area,1,3,DSerste,1362,3,1,62.63,Fergusson College Road
Super built-up  Area,1,1,IBityin,672,1,1,36.85,Ganesh Peth
Super built-up  Area,1,3,Stlomg ,1746,3,3,115,Ganeshkhind
Built-up  Area,0,2,0,1025,2,1,29.6,Ghorpade Peth
Super built-up  Area,1,2,SrEndPo,1532,2,1,65,Ghorpadi
Super built-up  Area,1,3,0,1200,2,2,120,Gokhale Nagar
Super built-up  Area,1,2,AlourAr,1250,2,2,65,Gultekdi
Super built-up  Area,1,2,SLaceda,1188,2,1,39,Guruwar peth
Built-up  Area,0,4,NVaree ,3565,4,0,218,Hadapsar
Super built-up  Area,0,2,PrensKe,1170,2,2,85,Hadapsar Industrial Estate
Super built-up  Area,1,3,0,1800,3,2,150,Hingne Khurd
Plot  Area,1,2,0,1000,2,1,35,Jangali Maharaj Road
Plot  Area,1,3,0,2600,3,1,375,Kalyani Nagar
Super built-up  Area,1,4,Radenta,2507,4,2,155,Karve Road
Super built-up  Area,1,2,ARngsd ,1061,2,1,34,Kasba Peth
Super built-up  Area,1,2,0,1290,2,2,69,Katraj
Super built-up  Area,1,2,0,1200,2,1,42.6,Khadaki
Super built-up  Area,0,2,0,1120,2,2,39.29,Khadki
Super built-up  Area,1,3,Sondaka,1333,3,1,50,Kondhwa
Super built-up  Area,1,3,Klark L,1691,3,2,119,Kondhwa Budruk
Super built-up  Area,1,3,0,1700,3,3,250,Koregaon Park
Super built-up  Area,0,3,G conTh,2030,4,1,125,Kothrud
Super built-up  Area,0,2,Soresea,1012,2,1,70,Law College Road
Carpet  Area,1,3,0,1245,2,1,60,Laxmi Road
Super built-up  Area,1,3,Eladero,1765,3,2,118,Lulla Nagar
Super built-up  Area,1,2,Srtusi ,1110,2,2,36.25,Mahatma Gandhi Road
Built-up  Area,1,2,0,967,2,1,47.8,Mangalwar peth
Super built-up  Area,1,2,Peles P,1044,2,2,36,Manik Bagh
Super built-up  Area,1,3,Baentgi,1518,3,3,80,Market yard
Super built-up  Area,1,3,SLontel,1300,2,2,57,Model colony
Super built-up  Area,1,3,Sapazta,1798,3,3,73,Mukund Nagar
Carpet  Area,1,2,Jahidva,866.28,2,0,36.38,Mundhawa
Super built-up  Area,0,4,BrlisCo,3410,5,3,253,Nagar Road
Super built-up  Area,1,2,EAvarum,1179,2,2,56,Nana Peth
Super built-up  Area,1,5,PhestOn,3600,5,0,510,Narayan Peth
Super built-up  Area,1,2,Aklia R,1125,2,1,48,Narayangaon
Super built-up  Area,1,3,0,2098,3,1,210,Navi Peth
Super built-up  Area,1,3,0,2400,3,1,270,Padmavati
Built-up  Area,1,3,0,1976,3,2,92,Parvati Darshan
Built-up  Area,1,2,Niaveha,1190,2,2,61.8,Pashan
Super built-up  Area,1,3,0,1800,3,3,192,Paud Road
